,index,archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema,Unnamed: 0,financial_share,fin_pos_share_count,fin_neg_share_count,fin_neu_share_count,fin_pos_share,fin_neg_share,fin_neu_share
0,203,01.02.2026,120.09,122.68,119.6067,122.65,14175055.0,XOM,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495,1.0,0.1256544502617801,0.25,0.4166666666666667,0.3333333333333333,0.2599799575207829,0.4505561314435216,0.2894639110356954
1,198,01.02.2026,35.1,35.85,35.05,35.83,7571439.0,BP,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495,1.0,0.1256544502617801,0.25,0.4166666666666667,0.3333333333333333,0.2599799575207829,0.4505561314435216,0.2894639110356954
2,199,01.02.2026,152.165,155.9,151.25,155.9,6862097.0,CVX,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495,1.0,0.1256544502617801,0.25,0.4166666666666667,0.3333333333333333,0.2599799575207829,0.4505561314435216,0.2894639110356954
3,200,01.02.2026,74.04,75.555,73.91,75.44,5611422.0,SHEL,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495,1.0,0.1256544502617801,0.25,0.4166666666666667,0.3333333333333333,0.2599799575207829,0.4505561314435216,0.2894639110356954
4,201,01.02.2026,44.72,45.7799,44.49,45.65,31935524.0,XLE,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495,1.0,0.1256544502617801,0.25,0.4166666666666667,0.3333333333333333,0.2599799575207829,0.4505561314435216,0.2894639110356954
5,202,01.02.2026,68.43,69.145,68.15,68.96,5012274.0,USO,0.851,0.8537,0.8499,0.8532,65.2781,117.9263,118.5495,1.0,0.1256544502617801,0.25,0.4166666666666667,0.3333333333333333,0.2599799575207829,0.4505561314435216,0.2894639110356954
6,204,01.05.2026,165.75,165.75,159.3098,163.85,35094878.0,CVX,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436,,,,,,,,
7,209,01.05.2026,35.56,36.225,34.63,36.12,16043829.0,BP,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436,,,,,,,,
8,206,01.05.2026,47.16,47.32,45.75,46.89,94961037.0,XLE,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436,,,,,,,,
9,207,01.05.2026,125.21,125.93,122.39,125.36,30112238.0,XOM,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436,,,,,,,,
10,208,01.05.2026,75.15,75.47,73.45,75.03,6526263.0,SHEL,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436,,,,,,,,
11,205,01.05.2026,69.73,70.4,69.23,70.22,4987089.0,USO,0.8527,0.8576,0.8525,0.853,70.7975,118.3902,119.3436,,,,,,,,
12,213,01.06.2026,35.31,35.48,34.34,34.36,16254992.0,BP,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461,,,,,,,,
13,212,01.06.2026,75.16,75.33,72.83,72.9,6524139.0,SHEL,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461,,,,,,,,
14,211,01.06.2026,70.6,70.74,68.46,68.51,5432884.0,USO,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461,,,,,,,,
15,214,01.06.2026,164.88,165.05,156.11,156.54,20564935.0,CVX,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461,,,,,,,,
16,215,01.06.2026,46.995,47.06,45.5313,45.64,69568225.0,XLE,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461,,,,,,,,
17,210,01.06.2026,125.35,125.8,121.0,121.05,23328636.0,XOM,0.853,0.8558,0.8514,0.8554,55.6472,118.6236,119.461,,,,,,,,
18,217,01.07.2026,33.65,33.93,33.58,33.67,12192066.0,BP,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237,,,,,,,,
19,216,01.07.2026,68.24,68.3103,67.345,67.79,5317458.0,USO,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237,,,,,,,,
20,218,01.07.2026,71.52,72.04,71.26,71.54,4923343.0,SHEL,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237,,,,,,,,
21,220,01.07.2026,157.44,158.005,154.9,155.2,13537874.0,CVX,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237,,,,,,,,
22,221,01.07.2026,119.8,120.12,118.274,118.49,20352950.0,XOM,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237,,,,,,,,
23,219,01.07.2026,45.82,45.82,45.08,45.13,42739166.0,XLE,0.8555,0.8566,0.8544,0.8565,48.9471,118.8939,119.2237,,,,,,,,
24,227,01.08.2026,45.32,46.85,45.22,46.55,51451021.0,XLE,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034,,,,,,,,
25,226,01.08.2026,33.57,34.205,33.4,34.13,11671361.0,BP,0.8565,0.8589,0.8558,0.8576,58.2858,119.2841,119.6034,,,,,,,,
