,rsi,sma,ema
1999-11-19,66.4588,16.6525,16.6809
1999-11-22,65.8507,16.744,16.774
1999-11-23,59.3731,16.8286,16.8096
1999-11-24,62.2618,16.9308,16.8731
1999-11-26,57.8333,17.0523,16.8955
1999-11-29,61.4457,17.138,16.9548
1999-11-30,61.1984,17.2005,17.0044
1999-12-01,68.4647,17.3019,17.1404
1999-12-02,66.6938,17.3841,17.246
1999-12-03,67.659,17.4568,17.3506
1999-12-06,70.4278,17.5486,17.4806
1999-12-07,70.4278,17.6218,17.5933
1999-12-08,68.4151,17.6722,17.6793
1999-12-09,73.7644,17.7513,17.831
1999-12-10,60.044,17.8,17.8658
1999-12-13,59.5055,17.8485,17.8915
1999-12-14,58.4516,17.9169,17.9057
1999-12-15,60.2909,17.9784,17.9378
1999-12-16,62.1233,18.0681,17.9857
1999-12-17,57.448,18.1188,17.9943
1999-12-20,54.7017,18.1596,17.9814
1999-12-21,50.3676,18.1322,17.9361
1999-12-22,51.2563,18.1154,17.9042
1999-12-23,59.9392,18.1354,17.9583
1999-12-27,53.3472,18.106,17.9525
1999-12-28,49.1353,18.0562,17.9093
1999-12-29,50.7341,18.0205,17.8865
1999-12-30,48.2826,17.9317,17.8448
1999-12-31,48.7096,17.8966,17.8122
2000-01-03,41.7486,17.8287,17.7184
2000-01-04,37.8637,17.7418,17.5934
2000-01-05,50.4971,17.7039,17.5964
2000-01-06,60.7548,17.7264,17.7318
2000-01-07,60.0205,17.7626,17.8418
2000-01-10,56.5188,17.7911,17.9025
2000-01-11,58.6994,17.8535,17.9843
2000-01-12,54.9872,17.8925,18.0187
2000-01-13,59.2902,17.918,18.1051
2000-01-14,54.4105,17.9453,18.1307
2000-01-18,56.6823,18.0087,18.182
2000-01-19,58.4869,18.0768,18.2501
2000-01-20,52.9978,18.1276,18.2546
2000-01-21,56.1057,18.1969,18.2967
2000-01-24,53.908,18.2895,18.3114
2000-01-25,53.338,18.4027,18.3185
2000-01-26,51.606,18.4475,18.3084
2000-01-27,44.6375,18.3821,18.2268
2000-01-28,39.7372,18.2875,18.0943
2000-01-31,50.728,18.2739,18.096
2000-02-01,51.4668,18.2496,18.1065
2000-02-02,52.985,18.2544,18.1337
2000-02-03,49.1647,18.2067,18.1156
2000-02-04,45.4619,18.1619,18.0562
2000-02-07,45.1446,18.0995,18.0009
2000-02-08,40.8673,17.9962,17.9003
2000-02-09,36.2672,17.8869,17.7476
2000-02-10,35.5543,17.7514,17.6044
2000-02-11,31.904,17.5963,17.4217
2000-02-14,40.3465,17.4842,17.3383
2000-02-15,48.1131,17.426,17.3501
2000-02-16,49.8051,17.4176,17.3806
2000-02-17,44.9545,17.409,17.3449
2000-02-18,39.3481,17.2928,17.2296
2000-02-22,40.5676,17.1786,17.1426
2000-02-23,39.0125,17.0421,17.0434
2000-02-24,35.701,16.8993,16.9041
2000-02-25,32.8165,16.7525,16.7322
2000-02-28,40.0852,16.646,16.6546
2000-02-29,44.8518,16.5961,16.6404
2000-03-01,46.7424,16.5931,16.6501
2000-03-02,49.0979,16.6107,16.686
2000-03-03,46.0417,16.6391,16.6788
2000-03-06,40.362,16.5842,16.5919
2000-03-07,55.5292,16.595,16.7235
2000-03-08,54.7435,16.5892,16.8267
2000-03-09,56.2045,16.6294,16.9399
2000-03-10,49.0284,16.6612,16.9381
2000-03-13,46.8556,16.6681,16.9028
2000-03-14,49.7146,16.7093,16.9123
2000-03-15,50.7558,16.7868,16.9353
2000-03-16,54.7885,16.9232,17.0138
2000-03-17,49.1143,16.9802,17.005
2000-03-20,44.8213,16.9734,16.9315
2000-03-21,49.3166,16.9882,16.9299
2000-03-22,45.4425,16.9558,16.8682
2000-03-23,46.669,16.9528,16.8311
2000-03-24,50.42,17.0205,16.8502
2000-03-27,48.8552,16.9657,16.8451
2000-03-28,54.0256,16.9558,16.9136
2000-03-29,56.8552,16.9568,17.017
2000-03-30,52.5158,16.9819,17.0517
2000-03-31,51.1007,17.0152,17.0634
2000-04-03,56.1501,17.0662,17.1468
2000-04-04,59.7324,17.1407,17.2776
2000-04-05,53.2863,17.1407,17.3104
2000-04-06,56.9269,17.2132,17.3975
2000-04-07,52.1355,17.2867,17.4088
2000-04-10,49.4541,17.3063,17.3802
2000-04-11,51.7589,17.376,17.3885
2000-04-12,52.905,17.4457,17.4121
2000-04-13,53.0337,17.4888,17.4343
2000-04-14,49.9689,17.524,17.417
2000-04-17,43.0095,17.4691,17.3067
2000-04-18,44.7683,17.4014,17.2313
2000-04-19,47.9048,17.3827,17.2027
2000-04-20,51.599,17.3984,17.2235
2000-04-24,53.598,17.3887,17.2674
2000-04-25,56.0839,17.3652,17.3382
2000-04-26,53.6782,17.3711,17.3741
2000-04-27,55.0158,17.3545,17.4216
2000-04-28,47.1595,17.3251,17.3749
2000-05-01,47.9861,17.3212,17.3435
2000-05-02,48.6832,17.3035,17.3236
2000-05-03,46.6626,17.2652,17.2843
2000-05-04,52.3431,17.2573,17.309
2000-05-05,53.6715,17.277,17.3449
2000-05-08,54.8638,17.3545,17.389
2000-05-09,51.6127,17.4055,17.3979
2000-05-10,57.2347,17.4692,17.466
2000-05-11,61.6176,17.538,17.58
2000-05-12,58.4442,17.5784,17.6518
2000-05-15,62.1208,17.6266,17.7614
2000-05-16,60.7545,17.6825,17.8452
2000-05-17,54.4123,17.7001,17.8628
2000-05-18,54.6034,17.7659,17.88
2000-05-19,55.4647,17.8316,17.9039
2000-05-22,59.7424,17.9179,17.9704
2000-05-23,58.5391,18.0112,18.019
2000-05-24,58.2944,18.0721,18.0593
2000-05-25,52.3969,18.1015,18.0501
2000-05-26,55.4393,18.1388,18.0698
2000-05-30,58.8166,18.2094,18.1198
2000-05-31,58.0133,18.2448,18.1576
2000-06-01,56.398,18.2448,18.1795
2000-06-02,43.2527,18.2001,18.088
2000-06-05,43.7049,18.132,18.0122
2000-06-06,53.6487,18.1171,18.0349
2000-06-07,49.914,18.1132,18.0198
2000-06-08,46.7369,18.0913,17.9752
2000-06-09,44.2695,18.0509,17.9109
2000-06-12,49.4254,18.0105,17.9011
2000-06-13,50.8077,17.9819,17.9056
2000-06-14,55.1302,17.977,17.952
2000-06-15,54.4504,17.9928,17.9865
2000-06-16,59.8893,18.0244,18.0736
2000-06-19,58.6454,18.0332,18.1396
2000-06-20,55.5028,18.0323,18.173
2000-06-21,57.6165,18.0482,18.2225
2000-06-22,52.7585,18.1034,18.2284
2000-06-23,54.2104,18.1637,18.2464
2000-06-26,54.9892,18.1803,18.2688
2000-06-27,49.8306,18.1949,18.2499
2000-06-28,50.102,18.2276,18.2356
2000-06-29,46.5022,18.2593,18.1958
2000-06-30,37.9721,18.2238,18.0818
2000-07-03,42.3973,18.1979,18.0139
2000-07-05,35.5988,18.1081,17.8782
2000-07-06,40.5182,18.0411,17.7974
2000-07-07,41.7826,17.9486,17.7371
2000-07-10,40.682,17.8551,17.6733
2000-07-11,49.5915,17.8126,17.6896
2000-07-12,43.894,17.7284,17.6464
2000-07-13,42.2584,17.6544,17.5909
2000-07-14,41.0696,17.5665,17.5298
2000-07-17,45.5324,17.4937,17.512
2000-07-18,43.8495,17.4327,17.48
2000-07-19,45.7765,17.3784,17.467
2000-07-20,43.957,17.3299,17.4393
2000-07-21,40.8355,17.3083,17.3858
2000-07-24,41.3735,17.272,17.3429
2000-07-25,35.8957,17.2474,17.2508
2000-07-26,39.6245,17.2159,17.1947
2000-07-27,54.7181,17.2471,17.2731
2000-07-28,53.0609,17.2766,17.3263
2000-07-31,53.6355,17.2708,17.378
2000-08-01,52.9376,17.2927,17.4172
2000-08-02,61.183,17.3697,17.536
2000-08-03,55.9086,17.4309,17.5965
2000-08-04,56.6355,17.4775,17.6567
2000-08-07,53.6671,17.5201,17.6849
2000-08-08,53.3326,17.5534,17.7068
2000-08-09,54.2203,17.5996,17.7334
2000-08-10,55.551,17.6676,17.7676
2000-08-11,56.9073,17.7398,17.8085
2000-08-14,60.8975,17.8601,17.8789
2000-08-15,55.0793,17.9479,17.9029
2000-08-16,58.7154,17.9846,17.9554
2000-08-17,63.0231,18.0519,18.0433
2000-08-18,58.9903,18.1024,18.0936
2000-08-21,60.7321,18.1648,18.1539
2000-08-22,58.9505,18.1759,18.1951
2000-08-23,63.2494,18.2314,18.2714
2000-08-24,56.0513,18.258,18.2914
2000-08-25,56.0513,18.2975,18.3087
2000-08-28,55.4415,18.3363,18.3198
2000-08-29,54.0294,18.3664,18.3208
2000-08-30,48.6875,18.3721,18.2874
2000-08-31,49.9732,18.3763,18.2667
2000-09-01,53.8021,18.3753,18.2743
2000-09-05,57.3955,18.4082,18.3069
2000-09-06,55.3919,18.418,18.3239
2000-09-07,58.4731,18.417,18.3608
2000-09-08,57.0583,18.4259,18.3854
2000-09-11,62.7971,18.4494,18.4506
2000-09-12,65.3887,18.491,18.5298
2000-09-13,65.5899,18.5117,18.6003
2000-09-14,62.0922,18.5487,18.6454
2000-09-15,73.854,18.6528,18.8097
2000-09-18,74.14,18.7611,18.9563
2000-09-19,65.1501,18.8481,19.0348
