,open,high,low,close
2025-11-21,0.8673,0.8702,0.8654,0.8685
2025-11-24,0.8685,0.8693,0.8657,0.8679
2025-11-25,0.8679,0.8687,0.863,0.8642
2025-11-26,0.8642,0.866,0.8619,0.8623
2025-11-27,0.8624,0.8638,0.8609,0.8624
2025-11-28,0.8624,0.8654,0.8613,0.8623
2025-12-01,0.8623,0.8628,0.8581,0.8613
2025-12-02,0.8613,0.8627,0.86,0.8603
2025-12-03,0.8601,0.8604,0.8563,0.8567
2025-12-04,0.8568,0.859,0.8559,0.8587
2025-12-05,0.8587,0.8599,0.8567,0.8589
2025-12-08,0.8584,0.8608,0.8566,0.8592
2025-12-09,0.8593,0.8609,0.8578,0.86
2025-12-10,0.86,0.8604,0.8545,0.8549
2025-12-11,0.8548,0.8559,0.8501,0.8519
2025-12-12,0.8518,0.8532,0.851,0.8517
2025-12-15,0.8514,0.8527,0.8496,0.8507
2025-12-16,0.8508,0.8521,0.8471,0.8513
2025-12-17,0.8512,0.8544,0.8504,0.8516
2025-12-18,0.8516,0.8538,0.8501,0.853
2025-12-19,0.853,0.8545,0.8519,0.8539
2025-12-22,0.8532,0.8542,0.8496,0.8503
2025-12-23,0.8506,0.8506,0.8472,0.8478
2025-12-24,0.8479,0.8494,0.8467,0.849
2025-12-25,0.8486,0.8495,0.8482,0.8489
2025-12-26,0.8485,0.8502,0.8476,0.8493
2025-12-29,0.849,0.8511,0.8482,0.8494
2025-12-30,0.8497,0.8515,0.8488,0.8511
2025-12-31,0.8511,0.8532,0.8503,0.8514
2026-01-01,0.8516,0.8517,0.8512,0.8514
2026-01-02,0.851,0.8537,0.8499,0.8532
2026-01-05,0.8527,0.8576,0.8525,0.853
2026-01-06,0.853,0.8558,0.8514,0.8554
2026-01-07,0.8555,0.8566,0.8544,0.8565
2026-01-08,0.8565,0.8589,0.8558,0.8576
2026-01-09,0.8575,0.8607,0.8573,0.8592
2026-01-12,0.859,0.8604,0.8548,0.857
2026-01-13,0.8569,0.8595,0.8562,0.8588
2026-01-14,0.8586,0.8594,0.8575,0.8587
2026-01-15,0.8589,0.8625,0.8584,0.8613
2026-01-16,0.8614,0.8632,0.86,0.862
2026-01-19,0.8633,0.864,0.8584,0.8586
2026-01-20,0.8587,0.8596,0.8496,0.8529
2026-01-21,0.853,0.8564,0.8515,0.8558
2026-01-22,0.8558,0.8568,0.8505,0.8506
2026-01-23,0.8507,0.8526,0.845,0.8453
2026-01-26,0.845,0.845,0.8398,0.8416
2026-01-27,0.842,0.8438,0.8278,0.8304
2026-01-28,0.8304,0.8406,0.8301,0.8364
2026-01-29,0.8364,0.8398,0.8335,0.8353
2026-01-30,0.8354,0.8438,0.8349,0.8437
2026-02-02,0.8431,0.8491,0.842,0.848
2026-02-03,0.848,0.8488,0.8453,0.846
2026-02-04,0.846,0.8481,0.8447,0.8469
2026-02-05,0.8468,0.8492,0.8458,0.849
2026-02-06,0.849,0.8499,0.8455,0.8462
2026-02-09,0.8462,0.8467,0.8384,0.8392
2026-02-10,0.8393,0.8412,0.8382,0.8406
2026-02-11,0.8405,0.845,0.8384,0.8422
2026-02-12,0.8423,0.8437,0.8408,0.8423
2026-02-13,0.8423,0.844,0.8413,0.8425
2026-02-16,0.8425,0.8441,0.8418,0.8437
2026-02-17,0.8437,0.847,0.8434,0.8434
2026-02-18,0.8435,0.8487,0.8431,0.8485
2026-02-19,0.8485,0.8516,0.8468,0.8493
2026-02-20,0.8493,0.8515,0.8467,0.8487
2026-02-23,0.8483,0.8493,0.8447,0.8484
2026-02-24,0.8484,0.8498,0.8475,0.8493
2026-02-25,0.8493,0.8495,0.8464,0.8466
2026-02-26,0.8467,0.8493,0.8452,0.8476
2026-02-27,0.8475,0.8482,0.8454,0.8464
2026-03-02,0.8471,0.8567,0.8471,0.8554
2026-03-03,0.8554,0.8672,0.854,0.8609
2026-03-04,0.8611,0.8639,0.8578,0.8595
2026-03-05,0.8595,0.8651,0.8584,0.8613
2026-03-06,0.8613,0.866,0.8604,0.8607
2026-03-09,0.8643,0.869,0.8591,0.8593
2026-03-10,0.8593,0.8615,0.8569,0.8612
2026-03-11,0.8612,0.8649,0.8587,0.8645
2026-03-12,0.8645,0.8687,0.8638,0.8686
2026-03-13,0.8687,0.8763,0.8672,0.8759
2026-03-16,0.876,0.8762,0.8675,0.8691
2026-03-17,0.8691,0.8721,0.8659,0.8665
2026-03-18,0.8665,0.8733,0.8653,0.8731
2026-03-19,0.8731,0.8738,0.8608,0.8628
2026-03-20,0.8628,0.8676,0.8622,0.8642
2026-03-23,0.8663,0.8707,0.859,0.861
2026-03-24,0.861,0.8652,0.8598,0.8615
2026-03-25,0.8613,0.8654,0.8597,0.8651
2026-03-26,0.8651,0.8681,0.864,0.8673
2026-03-27,0.8674,0.8693,0.8659,0.8687
2026-03-30,0.8677,0.8738,0.8673,0.8721
2026-03-31,0.8721,0.8735,0.8647,0.8654
2026-04-01,0.8654,0.8658,0.86,0.8629
2026-04-02,0.8628,0.8688,0.8615,0.8666
2026-04-03,0.8666,0.8684,0.8657,0.8681
2026-04-06,0.8681,0.8691,0.8641,0.8664
2026-04-07,0.8663,0.8677,0.8615,0.8624
2026-04-08,0.8624,0.8628,0.853,0.8573
2026-04-09,0.8573,0.8583,0.853,0.8546
