archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema
2025-11-13,70.5,70.54,69.845,69.85,4174730.0,USO,,,,,62.5786,114.2701,114.6296
2025-11-13,118.63,119.76,118.28,118.79,17291874.0,XOM,,,,,62.5786,114.2701,114.6296
2025-11-13,90.54,91.3,90.075,90.48,16121910.0,XLE,,,,,62.5786,114.2701,114.6296
2025-11-13,154.0,156.2025,153.93,155.58,7998740.0,CVX,,,,,62.5786,114.2701,114.6296
2025-11-13,76.44,76.82,75.665,75.92,4360533.0,SHEL,,,,,62.5786,114.2701,114.6296
2025-11-13,36.925,37.03,36.3719,36.49,5988946.0,BP,,,,,62.5786,114.2701,114.6296
2025-11-14,90.96,92.22,89.815,92.02,17089864.0,XLE,,,,,66.2547,114.5782,115.1425
2025-11-14,156.23,157.95,154.81,157.62,8484812.0,CVX,,,,,66.2547,114.5782,115.1425
2025-11-14,71.32,71.9573,71.13,71.38,4159910.0,USO,,,,,66.2547,114.5782,115.1425
2025-11-14,118.45,119.48,116.6564,119.29,17064267.0,XOM,,,,,66.2547,114.5782,115.1425
2025-11-14,36.02,36.53,35.9,36.53,7048120.0,BP,,,,,66.2547,114.5782,115.1425
2025-11-14,74.97,75.88,74.87,75.76,4219442.0,SHEL,,,,,66.2547,114.5782,115.1425
2025-11-17,157.72,157.89,154.435,154.82,8744980.0,CVX,,,,,59.5663,114.836,115.3737
2025-11-17,71.6,71.78,71.285,71.3,3647372.0,USO,,,,,59.5663,114.836,115.3737
2025-11-17,36.53,36.99,36.44,36.5,9067016.0,BP,,,,,59.5663,114.836,115.3737
2025-11-17,118.97,119.5,117.11,117.68,16034860.0,XOM,,,,,59.5663,114.836,115.3737
2025-11-17,91.91,91.94,89.98,90.34,18723669.0,XLE,,,,,59.5663,114.836,115.3737
2025-11-17,75.37,75.95,75.08,75.4,4304263.0,SHEL,,,,,59.5663,114.836,115.3737
2025-11-18,89.95,91.3,89.7,91.06,17419954.0,XLE,,,,,62.9442,115.0898,115.753
2025-11-18,71.32,72.68,70.91,72.5,5342950.0,USO,,,,,62.9442,115.0898,115.753
2025-11-18,35.94,36.765,35.92,36.69,8211815.0,BP,,,,,62.9442,115.0898,115.753
2025-11-18,117.26,119.48,116.48,119.03,15808518.0,XOM,,,,,62.9442,115.0898,115.753
2025-11-18,152.5,154.28,151.76,153.62,10813365.0,CVX,,,,,62.9442,115.0898,115.753
2025-11-18,74.16,75.52,74.01,75.31,5506234.0,SHEL,,,,,62.9442,115.0898,115.753
2025-11-19,73.36,73.755,73.26,73.67,5737472.0,SHEL,,,,,56.6064,115.3481,115.8591
2025-11-19,116.85,118.18,115.93,117.35,15919239.0,XOM,,,,,56.6064,115.3481,115.8591
2025-11-19,35.65,35.98,35.62,35.95,7181082.0,BP,,,,,56.6064,115.3481,115.8591
2025-11-19,151.16,151.955,150.25,151.7,7539905.0,CVX,,,,,56.6064,115.3481,115.8591
2025-11-19,89.45,90.165,88.82,89.88,20531369.0,XLE,,,,,56.6064,115.3481,115.8591
2025-11-19,70.48,70.91,70.11,70.88,4790201.0,USO,,,,,56.6064,115.3481,115.8591
2025-11-20,73.99,74.61,73.21,73.21,4992140.0,SHEL,,,,,55.4259,115.6063,115.9075
2025-11-20,71.27,71.791,70.02,70.15,5542189.0,USO,,,,,55.4259,115.6063,115.9075
2025-11-20,36.05,36.405,35.63,35.72,7073554.0,BP,,,,,55.4259,115.6063,115.9075
2025-11-20,117.98,119.005,116.74,117.02,14401011.0,XOM,,,,,55.4259,115.6063,115.9075
2025-11-20,152.54,153.035,150.045,150.31,7623448.0,CVX,,,,,55.4259,115.6063,115.9075
2025-11-20,90.34,91.565,88.79,88.86,20815023.0,XLE,,,,,55.4259,115.6063,115.9075
2025-11-21,69.27,69.53,68.58,69.3,7120456.0,USO,0.8673,0.8702,0.8654,0.8685,55.6071,115.9109,115.9573
2025-11-21,35.53,36.11,35.395,35.98,8785353.0,BP,0.8673,0.8702,0.8654,0.8685,55.6071,115.9109,115.9573
2025-11-21,116.99,117.38,115.65,117.08,15667596.0,XOM,0.8673,0.8702,0.8654,0.8685,55.6071,115.9109,115.9573
2025-11-21,73.02,73.45,72.7,73.27,4574428.0,SHEL,0.8673,0.8702,0.8654,0.8685,55.6071,115.9109,115.9573
